RecipeText,TargetChemical
"Starting materials BaO, KO, Bi2O3 were sealed in silver tubes. Reactions were carried out at 675 °C for 3 days. The perovskite structure was identified as the bulk superconductor compound.",Ba1 K BiO3
"—b mix- Single-phase BaCO3, Y203, Ba2YCu309 and CuO, Y203, was prepared and our by heating —b CuO, Ba2YCu309 BaCO3, Y203, for air C and d. —b Ba2YCu309 CuO, This at grinding, material and heating then pressed ing 950 ing 950 into BaCO3, C BaCO3, Y203, for air sintered d. grinding, CuO, material This 02 was then for 16 pressed then in 1 material 02 removal into pellets, cooled to 200 sintered C 200 for 16 from in 02 flowing removal before and furnace. then furnace. h, the sintered pellets, 200 overnight cooled to Additional C 02 02 removal before treatment h, from furnace. the 'C at 700 02 in furnace. 'C from 02 properties. the 700 The Additional to treatment observed at properties. overnight the was in found content to for the material 700 The our observed determined material improve material this for 02 properties. determined oxygen heating content material this for at 900 was determined for C our heating the by measuring material 900 reduction at reduction for C Cu to a sample in 2 metal and and measuring oxides, BajY the oxides, H2 on reduction h measuring BajY content reduction 6=2.1+ C Cu to 6=2.1+ 0.05. metal The 0.05. and oxides, content of weight loss on the reduction to 6=2.1+ critically metal Cu 0.05. critically the material The the BajY content condi- synthetic oxides, of condi- value yielding material the oxygen synthetic the tions. material tions. Prepared critically described, the Ba2YCu309 of condi- depends as Prepared on Ba2YCu309 synthetic Ba2YCu309 tions. orthorhombically",Ba2YCu3O9
"compounds high-purity were prepared La(OH)3, from SrCO3, La(OH)3, the SrCO3, compounds of heated „Sr„Cu04 appropriate and CuO „Sr„Cu04 mixtures from prepared La(OH)3, several days high-purity several heated for SrCO3, air at appropriate CuO 1000'C and 1000'C powders, quartz heated crucibles, high-purity for with La(OH)3, several several SrCO3, air at intermediate days several intermediate in intermediate and CuO 1000'C quartz For x crucibles, and =0.1 inx material approximately 0.2, was obtained A 78 an=3. single-phase tetragonal lattice en=13.23 with and parame- A as en=13.23 was obtained an=3. diA'raction. x-ray parame- lattice en=13.23 the For x K2NiF4-type ters determined K2NiF4-type of determined approximately determined powder obtained A 78 diA'raction. and diA'raction. A as =0.3 A as =0.3 an but en=13.23 x but determined material there an=3. x-ray increase an=3. diA'raction. increase en=13.23 For x =0.2, powder was an the =0.2, by there For =0.2, 2%-3% the =0.2, 2%-3% For x 2%-3% material diffraction extra by there diffraction was an diffraction increase on the in order co order from of an but the of x =0.2, 2%-3% observed, material extra maximum diffraction maximum major-phase from of observed, but of suggest- peak major-phase on the co order was the suggest- maximum that peak major-phase the limiting intensity stoichiometry was observed, stoichiometry the of K2NiF4-type suggest- K2NiF4-type that observed, of just the limiting air prepared stoichiometry 1000'C at the below just ing phase K2NiF4-type below =0.3. x K2NiF4-type =0.3. annealed at stoichiometry 1000'C into K2NiF4-type x annealed stoichiometry air at pressed phase The prepared were powders just and pellets in is below annealed phase The 1100'C powders 1100'C for were pressed and air, into cooled =0.3. at temperature pellets cooled to and annealed room temperature The powders 1100'C for 6 them removing h in them pellets and cooled to air, while from the furnace room temperature while anneal- the at removing temperature. them from the furnace Portions the temperature. of room at while sintered anneal- the were by furnace of susceptibility temperature. for resistivity Portions and sintered the susceptibility measurements, pellets measurements, were ing used temperature. for portions used resistivity were annealed and susceptibility annealed measurements, at 900 C 02 and for measurements, 02 in the measurements, 900 02 portions cooled were to cooled annealed room temperature measurements, at the measurements, C for and in flowing temperature 1 900 02 the cooled characterized to to room determine to temperature eN'ects determine the 02 the of day, characterized 02 in eN'ects and flow, annealing day, characterized atmosphere room to to the the of determine observed the the properties. eN'ects 02 the annealing atmosphere Resistivity on measurements observed the measurements properties. were made",K2NiF4-type compound
,Stoichiometric Cava
"Single crystals of were grown by melting Experimental methods. Bi2Se3 Single crystals of were grown by melting Experimental methods. Bi2Se3 stoichiometric mixtures of high-purity elemental Bi and Se in a stoichiometric mixtures of high-purity elemental Bi and Se in a 4-mm-inner-diameter quartz tube. The sample was cooled over a period of ◦C, 4-mm-inner-diameter quartz tube. The sample was cooled over a period of two days, from 850 to 650 ◦C, and then annealed at this temperature for a ◦C, two days, from 850 to 650 ◦C, and then annealed at this temperature for a week. Single crystals were obtained and could be easily cleaved from the boule.",Bi2Se3
"all samples were pre- “Fe1.06Se” Johnson-Matthey, 99.98% “Fe1.06Se” pared from iron pieces Johnson-Matthey, 99.98% and sele- iron Johnson-Matthey, 99.999% nium shot Alfa-Aesar, 99.999% . Stoichiometric quantities of freshly polished iron and selenium shot were loaded into cleaned and dried silica tubes and sealed under vacuum with and a piece of cleaned carbon inside but not in physical contact cleaned sample with the sample . These tubes were sealed in a second evacu- ated silica ampoule and placed in a furnace at 750 °C. The temperature was held constant until the Se vapor had disap- temperature held days peared 3–5 days and then increased to 1075 °C for 3 days, followed by a fast decrease to 420 °C. This temperature was held for 2 days before the tubes were quenched in −13 °C brine. Small pieces were then loaded into small silica am- small am- poules and annealed at various temperatures 300–500 °C for 2 days followed by quenching in −13 °C brine.",FeSe
"Single crystals of FeSe were prepared by a chemical vapor transport technique using elemental Fe and Se and a eutectic mix of the chlorine salts, KCl and AlCl3 (molar ratio AlCl3 1:2), in a constant temperature gradient. The furnace was ∼15◦–20◦to temperature ∼15◦–20◦to temperature ∼15◦–20◦to temperature ∼15◦–20◦to tilted at an angle of ∼15◦–20◦to enhance convection (see Fig. 1). The Fe:Se ratio, the temperature conditions, and the amount of starting materials were varied.tilted two-zone furnace in a silica ampoule of 14 mm inner",FeSe
,
,sSroqCu04
4. (a) RIXS spectra at the Fe edge of plotted L3 BaFe2As2 L3 BaFe2As2 BaFe2As2Calculation of the direct (a) and indirect (b) RIXS FIG. 8. Calculation of the contributions at the Fe L3 direct (a) and indirect edge of BaFe2As2 L3 BaFe2As2,BaFe2As2
,
