"source","idx","authors","year","title","venue","vol","pages"
"zatreanu2021","21","van Schendel, R., Roerink, S. F., Portegijs, V., van den Heuvel, S., Tijsterman, M.","2015","Polymerase Theta is a key driver of genome evolution and of CRISPR/Cas9-mediated mutagenesis.","Nat. Commun.","6","7394"
"zatreanu2021","22","Schimmel, J., Kool, H., van Schendel, R., Tijsterman, M.","2017","Mutational signatures of non-homologous and polymerase theta-mediated end-joining in embryonic stem cells.","EMBO J.","36","3634–3649"
"zatreanu2021","23","Hucl, T., et al.","2008","A syngeneic variance library for functional annotation of human variation: application to BRCA2.","Cancer Res.","68","5023–5030"
"zatreanu2021","24","Drean, A., et al.","2017","Modeling therapy resistance in BRCA1/2-mutant cancers.","Mol. Cancer Ther.","16","2022–2034"
"zatreanu2021","25","Edwards, S. L., et al.","2008","Resistance to therapy caused by intragenic deletion in BRCA2.","Nature","451","1111–1115"
"zatreanu2021","26","Behan, F. M., et al.","2019","Prioritization of cancer therapeutic targets using CRISPR-Cas9 screens.","Nature","568","511–516"
"zatreanu2021","27","Meyers, R. M., et al.","2017","Computational correction of copy number effect improves specificity of CRISPR-Cas9 essentiality screens in cancer cells.","Nat. Genet.","49","1779–1784"
"zatreanu2021","28","Noordermeer, S. M., et al.","2018","The shieldin complex mediates 53BP1-dependent DNA repair.","Nature","560","117–121"
"zatreanu2021","29","Mitra, A. K., et al.","2015","In vivo tumor growth of high-grade serous ovarian cancer cell lines.","Gynecol. Oncol.","138","372–377"
"zatreanu2021","30","Elstrodt, F., et al.","2006","BRCA1 mutation analysis of 41 human breast cancer cell lines reveals three new deleterious mutants.","Cancer Res.","66","41–45"
"zatreanu2021","31","Dev, H., et al.","2018","Shieldin complex promotes DNA end-joining and counters homologous recombination in BRCA1-null cells.","Nat. Cell Biol.","20","954–965"
"zatreanu2021","32","Findlay, S., et al.","2018","SHLD2/FAM35A co-operates with REV7 to coordinate DNA double-strand break repair pathway choice.","EMBO J","37","https://doi.org/10.15252/embj.2018100158"
"zatreanu2021","33","Gao, S., et al.","2018","An OB-fold complex controls the repair pathways for DNA double-strand breaks.","Nat. Commun.","9","3925"
"zatreanu2021","34","Zimmermann, M., et al.","2018","CRISPR screens identify genomic ribonucleotides as a source of PARP-trapping lesions.","Nature","559","285–289"
"zatreanu2021","35","Mirman, Z., et al.","2018","53BP1-RIF1-shieldin counteracts DSB resection through CST- and Polalpha-dependent fill-in.","Nature","560","112–116"
"zatreanu2021","36","Ghezraoui, H., et al.","2018","53BP1 cooperation with the REV7-shieldin complex underpins DNA structure-specific NHEJ.","Nature","560","122–127"
"zatreanu2021","37","Setiaputra, D., Durocher, D.","2019","Shieldin—the protector of DNA ends.","EMBO Rep","20","https://doi.org/10.15252/embr.201847560"
"zatreanu2021","38","Bunting, S. F., et al.","2010","53BP1 inhibits homologous recombination in Brca1-deficient cells by blocking resection of DNA breaks.","Cell","141","243–254"
"zatreanu2021","39","Feng, W., et al.","2019","Genetic determinants of cellular addiction to DNA polymerase theta.","Nat. Commun.","10","4286"
"zatreanu2021","40","Bouwman, P., et al.","2010","53BP1 loss rescues BRCA1 deficiency and is associated with triple-negative and BRCA-mutated breast cancers.","Nat. Struct. Mol. Biol.","17","688–695"
"zatreanu2021","41","Jaspers, J. E., et al.","2013","Loss of 53BP1 causes PARP inhibitor resistance in Brca1-mutated mouse mammary tumors.","Cancer Disco.","3","68–81"
"zatreanu2021","42","Callen, E., et al.","2020","53BP1 Enforces Distinct Pre- and Post-resection Blocks on Homologous Recombination.","Mol. Cell","77","26–38 e27"
"zatreanu2021","43","Zhou, Y., Caron, P., Legube, G., Paull, T. T.","2014","Quantitation of DNA double-strand break resection intermediates in human cells.","Nucleic Acids Res.","42","e19"
"zatreanu2021","44","Tomimatsu, N., et al.","2012","Exo1 plays a major role in DNA end resection in humans and influences double-strand break repair and damage signaling decisions.","DNA Repair (Amst.)","11","441–448"
"zatreanu2021","45","Mimitou, E. P., Symington, L. S.","2008","Sae2, Exo1 and Sgs1 collaborate in DNA double-strand break processing.","Nature","455","770–774"
"zatreanu2021","46","Nimonkar, A. V., et al.","2011","BLM-DNA2-RPA-MRN and EXO1-BLM-RPA-MRN constitute two DNA end resection machineries for human DNA break repair.","Genes Dev.","25","350–362"
"zatreanu2021","47","Zhu, Z., Chung, W. H., Shim, E. Y., Lee, S. E., Ira, G.","2008","Sgs1 helicase and two nucleases Dna2 and Exo1 resect DNA double-strand break ends.","Cell","134","981–994"
"zatreanu2021","48","Myler, L. R., et al.","2016","Single-molecule imaging reveals the mechanism of Exo1 regulation by single-stranded DNA binding proteins.","Proc. Natl Acad. Sci. USA","113","E1170–E1179"
"zatreanu2021","49","Cejka, P.","2015","DNA end resection: nucleases team up with the right partners to initiate homologous recombination.","J. Biol. Chem.","290","22931–22938"
"zatreanu2021","50","Niu, H., et al.","2010","Mechanism of the ATP-dependent DNA end-resection machinery from Saccharomyces cerevisiae.","Nature","467","108–111"
"zatreanu2021","51","Zhou, C., Pourmal, S., Pavletich, N. P.","2015","Dna2 nuclease-helicase structure, mechanism and regulation by Rpa.","Elife","4","https://doi.org/10.7554/eLife.09832"
"zatreanu2021","52","Mengwasser, K. E., et al.","2019","Genetic screens reveal FEN1 and APEX2 as BRCA2 synthetic lethal targets.","Mol. Cell","73","885–899.e886"
"zatreanu2021","53","Lord, C. J., Ashworth, A.","2017","PARP inhibitors: synthetic lethality in the clinic.","Science","355","1152–1158"
"zatreanu2021","54","Farmer, H., et al.","2005","Targeting the DNA repair defect in BRCA mutant cells as a therapeutic strategy.","Nature","434","917–921"
"zatreanu2021","55","Bryant, H. E., et al.","2005","Specific killing of BRCA2-deficient tumours with inhibitors of poly(ADP-ribose) polymerase.","Nature","434","913–917"
"zatreanu2021","56","Ryan, C. J., Bajrami, I., Lord, C. J.","2018","Synthetic lethality and cancer—penetrance as the major barrier.","Trends Cancer","4","671–683"
"zatreanu2021","57","Drean, A., Lord, C. J., Ashworth, A.","2016","PARP inhibitor combination therapy.","Crit. Rev. Oncol. Hematol.","108","73–85"
"zatreanu2021","58","Takata, K., Shimizu, T., Iwai, S., Wood, R. D.","2006","Human DNA polymerase N (POLN) is a low fidelity enzyme capable of error-free bypass of 5S-thymine glycol.","J. Biol. Chem.","281","23445–23455"
"zatreanu2021","59","Seki, M., et al.","2004","High-efficiency bypass of DNA damage by human DNA polymerase Q.","EMBO J.","23","4484–4494"
"zatreanu2021","60","Walton, J. B., et al.","2017","CRISPR/Cas9-derived models of ovarian high grade serous carcinoma targeting Brca1, Pten and Nf1, and correlation with platinum sensitivity.","Sci. Rep.","7","16827"
"zatreanu2021","61","Lord, C. J., McDonald, S., Swift, S., Turner, N. C., Ashworth, A.","2008","A high-throughput RNA interference screen for DNA repair determinants of PARP inhibitor sensitivity.","DNA Repair (Amst.)","7","2010–2019"
"zatreanu2021","62","Booij, T. H., et al.","2016","Development of a 3D tissue culture-based high-content screening platform that uses phenotypic profiling to discriminate Selective inhibitors of receptor tyrosine kinases.","J. Biomol. Screen","21","912–922"
"zatreanu2021","63","Di, Z., et al.","2014","Ultra high content image analysis and phenotype profiling of 3D cultured micro-tissues.","PLoS ONE","9","e109688"
"zatreanu2021","64","Sandercock, A. M., et al.","2015","Identification of anti-tumour biologics using primary tumour models, 3-D phenotypic screening and image-based multi-parametric profiling.","Mol. Cancer","14","147"
